#    L    TT             EE             BB             TE          
   239    0.63618E+00    0.15644E-02    0.12500E-02   -0.77635E-02
   240    0.62948E+00    0.15770E-02    0.12549E-02   -0.82021E-02
   241    0.62257E+00    0.15902E-02    0.12596E-02   -0.86232E-02
   242    0.61546E+00    0.16038E-02    0.12641E-02   -0.90257E-02
   243    0.60816E+00    0.16179E-02    0.12683E-02   -0.94086E-02
   244    0.60066E+00    0.16325E-02    0.12723E-02   -0.97709E-02
   245    0.59299E+00    0.16473E-02    0.12760E-02   -0.10112E-01
   246    0.58514E+00    0.16625E-02    0.12794E-02   -0.10430E-01
   247    0.57713E+00    0.16780E-02    0.12824E-02   -0.10725E-01
   248    0.56897E+00    0.16936E-02    0.12851E-02   -0.10995E-01
   249    0.56066E+00    0.17095E-02    0.12875E-02   -0.11240E-01
   250    0.55222E+00    0.17254E-02    0.12894E-02   -0.11458E-01
   251    0.54364E+00    0.17415E-02    0.12909E-02   -0.11649E-01
   252    0.53494E+00    0.17576E-02    0.12920E-02   -0.11813E-01
   253    0.52613E+00    0.17738E-02    0.12927E-02   -0.11951E-01
   254    0.51722E+00    0.17900E-02    0.12930E-02   -0.12063E-01
   255    0.50821E+00    0.18061E-02    0.12929E-02   -0.12151E-01
   256    0.49912E+00    0.18223E-02    0.12924E-02   -0.12215E-01
   257    0.48995E+00    0.18384E-02    0.12915E-02   -0.12255E-01
   258    0.48072E+00    0.18544E-02    0.12902E-02   -0.12272E-01
   259    0.47142E+00    0.18703E-02    0.12886E-02   -0.12267E-01
   260    0.46208E+00    0.18861E-02    0.12867E-02   -0.12241E-01
   261    0.45269E+00    0.19017E-02    0.12844E-02   -0.12194E-01
   262    0.44328E+00    0.19172E-02    0.12817E-02   -0.12127E-01
   263    0.43384E+00    0.19325E-02    0.12788E-02   -0.12041E-01
   264    0.42439E+00    0.19476E-02    0.12755E-02   -0.11935E-01
   265    0.41493E+00    0.19625E-02    0.12719E-02   -0.11812E-01
   266    0.40548E+00    0.19771E-02    0.12680E-02   -0.11671E-01
   267    0.39604E+00    0.19914E-02    0.12638E-02   -0.11513E-01
   268    0.38662E+00    0.20054E-02    0.12594E-02   -0.11340E-01
   269    0.37723E+00    0.20191E-02    0.12546E-02   -0.11151E-01
   270    0.36789E+00    0.20325E-02    0.12496E-02   -0.10947E-01
   271    0.35859E+00    0.20455E-02    0.12443E-02   -0.10729E-01
   272    0.34935E+00    0.20581E-02    0.12388E-02   -0.10498E-01
   273    0.34018E+00    0.20703E-02    0.12330E-02   -0.10254E-01
   274    0.33108E+00    0.20820E-02    0.12270E-02   -0.99978E-02
